Seed No. per image,Class,Area-SAM(mm2),Length-SAM(mm),Width-SAM(mm),Perimeter-SAM(mm),Area-SAM_taubin(mm2),Length-SAM_taubin(mm),Width-SAM_taubin(mm),Perimeter-SAM_taubin(mm),Area-SAM_minEnc(mm2),Length-SAM_minEnc(mm),Width-SAM_minEnc(mm),Perimeter-SAM_minEnc(mm),centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,Area-SAM(pix),Eccentricity,Equivalent diameter area,Perimeter(pix),solidity,area_convex,extent,Axis Major Length-SAM(pix),Axis Minor Length-SAM(pix),Aspect Ratio,Roundness,Compactness,Circularity-SAM,Shape,Shapefactor1,Shapefactor2,Shapefactor3,Shapefactor4,RGB value of Seed,color_seeds,TGW(g)
0,Faba-Seed-CC_Vf5-3-1,88.45136970625057,11.575471089724642,9.732602459227692,33.86224318039864,88.5260608179597,12.302642839282267,9.16564144831881,35.89787258898752,78.7331439333975,11.60223461101517,8.643827495689834,33.85415192936398,2820.659854606018,1521.2297044856068,2709,1390,2933,1653,44431.0,0.6670488017736073,237.84723292930695,804.2224381515858,0.9917633928571428,44800.0,0.7541926941879413,275.6169295377955,205.3384777751836,1.3422566122242163,0.8632639002572537,0.8629630746129143,1.158394321483846,"Elongated,Oval,Elongated,Ellipse",0.0062032573999638,0.0046215137578533,0.7447052681453745,0.999585570326337,"[17, 9, 32]",black,497.2621087566659
1,Faba-Seed-CC_Vf5-3-1,68.16554545501397,9.509653412120675,9.142756111544635,29.31732069708085,68.22310658026508,10.10705037815145,8.610155887790501,31.079732002028155,60.67614011441254,9.5316405787412,8.119966575684723,29.31031543756039,2858.042697351129,2237.8894892088438,2754,2127,2959,2348,34241.0,0.5237109780415894,208.7989349859733,696.2813126546316,0.99269416983156,34493.0,0.7557885443107825,226.42892493109497,192.8938976475266,1.1738521938358395,0.8875377310840804,0.9221389672256464,1.1267126624335766,"Elongated,Oval,Elongated,Ellipse",0.0066128011720187,0.0056334189319098,0.8503402748759815,0.9981737971701418,"[17, 16, 34]",black,374.78549643096756
2,Faba-Seed-CC_Vf5-3-1,80.66352432147751,10.619520846545338,9.73750024589527,32.14313903410181,80.73163913220294,11.286639747675933,9.170253920334742,34.075424463439646,71.80095561741426,10.644074125635983,8.648177372636168,32.13545855630294,3001.973271798416,1048.2994397689972,2888,922,3111,1165,40519.0,0.5829785865258206,227.13518686703756,763.3940110268397,0.992383051677688,40830.0,0.7477347801214269,252.85534439160887,205.44181129394192,1.230788138008717,0.8737176028177455,0.8982811394140937,1.1445345690357993,"Elongated,Oval,Elongated,Ellipse",0.0062404142350899,0.005070258676027,0.8069090054270824,0.9931340323320642,"[16, 8, 31]",black,442.1939142887
3,Faba-Seed-CC_Vf5-3-1,108.07427153593058,12.850842866818663,10.728997307829204,37.33956469112759,108.165532841606,13.658133543657714,10.10399251746934,39.58423335008887,96.2000611702704,12.880555161376822,9.52875680673342,37.33064254767032,3380.54544282346,1555.3207891246684,3265,1411,3499,1705,54288.0,0.6728505646328314,262.9099245075821,886.8082245892128,0.9934123847167324,54648.0,0.7891156462585034,305.9840783559416,226.36041947392064,1.3517561023569076,0.8674696352905208,0.8592274667368388,1.152778102331033,"Elongated,Oval,Elongated,Ellipse",0.0056363114934413,0.004169621637819,0.7382718395950053,0.9979634643708084,"[17, 9, 32]",black,605.744353778196
4,Faba-Seed-CC_Vf5-3-1,80.03643554432936,10.814683554217032,9.528992884032156,32.38452911020939,80.1040208216167,11.494062587698696,8.973892903209236,34.33132570867588,71.24276560730826,10.83968806688957,8.462995487824124,32.376790953192625,3487.4636852054523,2004.6607302755945,3387,1877,3591,2124,40204.0,0.6248540166118738,226.250574930833,769.1269837220808,0.9923728186014366,40513.0,0.7978883861236803,257.5022521357355,201.0427223072858,1.2808334924064226,0.8540494786117244,0.8786353247565812,1.1708923487963734,"Elongated,Oval,Elongated,Ellipse",0.0064048913574702,0.0050005651752881,0.7720000339101029,0.988803499570954,"[16, 8, 29]",black,432.71569683870507
5,Faba-Seed-CC_Vf5-3-1,77.88044460575338,11.16028174806835,8.971950791333045,32.26821626820978,77.94620929664877,11.86137127966442,8.449300625379122,34.208020717913115,69.32365519161044,11.18608531458046,7.968269048796092,32.260505903693286,3550.533830934792,978.1671480790368,3421,865,3669,1088,39121.0,0.7018369886250884,223.18244606058136,766.3645737753168,0.9901543912933436,39510.0,0.7073810212642847,265.73109330382084,189.2902464560719,1.4038287670859384,0.8370453154640992,0.8398808106562375,1.1946784499302174,"Elongated,Oval,Elongated,Ellipse",0.0067925434754689,0.0048385840458084,0.7053997761085786,0.990260497997203,"[16, 8, 29]",black,432.6468009325545
6,Faba-Seed-CC_Vf5-3-1,70.10454376911648,9.664005159401666,9.305818930200337,29.96561886033628,70.16374224537937,10.271098510940002,8.763719678730439,31.767002621999648,62.4020990662959,9.686349201024736,8.26478774569814,29.95845869249636,3909.375692176629,1475.753656112452,3807,1356,4020,1589,35215.0,0.5215172501036855,211.74779944039267,711.6782822743016,0.9907996173541164,35542.0,0.7095649720929296,230.1041062109432,196.334197516422,1.1720021734455943,0.8737156819288645,0.920226079087338,1.1445370853277386,"Elongated,Oval,Elongated,Ellipse",0.0065342639844084,0.0055753002276422,0.846816036632456,0.9924702354418222,"[15, 7, 31]",black,373.97659432433335
7,Faba-Seed-CC_Vf5-3-1,68.62939207430132,10.541995111340402,8.343454510569197,30.136520079875428,68.68734488619079,11.204243841393918,7.857416636978709,31.948177571681367,61.089023518713184,10.566369144018644,7.410081918954518,30.12931907585516,3958.692579915298,2159.04551256019,3847,2048,4072,2264,34474.0,0.7128767622074563,209.50813842235345,715.7371567773473,0.9895800442058732,34837.0,0.7093415637860082,251.0094233978351,176.03022991681075,1.425944984088576,0.8456573225703522,0.8346624424944215,1.1825120806150269,"Elongated,Oval,Elongated,Ellipse",0.0072811226836988,0.0051061736356909,0.6966613929107534,0.9934008188292496,"[16, 8, 29]",black,397.2126404397026
8,Faba-Seed-CC_Vf5-3-1,101.25194379216336,12.771782578639025,10.107882788993743,36.243067024542704,101.33744411024394,13.5741066836962,9.519060275364524,38.42181970491219,90.1273082666726,12.801312078761471,8.97712564966383,36.234406884929406,4169.289003362104,1042.3995792453943,4064,896,4279,1191,50861.0,0.7128996541500425,254.47639671445972,860.7665940288701,0.9931849248193712,51210.0,0.8019077650768625,304.1016189979127,213.25614337140533,1.4259923029194594,0.8626287950452789,0.8368136860073949,1.1592471822686032,"Elongated,Oval,Elongated,Ellipse",0.0059790727472505,0.0041929207717387,0.7002571450892832,0.9985612989616728,"[16, 8, 29]",black,580.4583288719248
9,Faba-Seed-CC_Vf5-3-1,75.58310984756623,10.252226214848552,9.44616115009446,31.20835287532305,75.64693459691378,10.89627164641028,8.895886431970329,33.08444361651178,67.27873051966651,10.275930276000755,8.389430044015466,31.20089576103363,4448.960386651565,1755.5659915189506,4331,1645,4574,1861,37967.0,0.5774647404103653,219.86606330891524,741.193000900063,0.9923678088815704,38259.0,0.7233462886755068,244.10990173624728,199.29513812006573,1.2248663165540086,0.8684674125437726,0.9006847397221653,1.1514536821490673,"Elongated,Oval,Elongated,Ellipse",0.0064295283202846,0.0052491673853627,0.8112330003683849,0.99365197702828,"[28, 20, 35]",black,409.70111781619073
0,Faba-Seed-CC_Vf1-1-2,189.34647061364828,17.92156585305714,13.46863962309646,49.73705621869896,189.94533058527512,18.277749821357823,13.260287868121356,52.64336039232976,182.75696960530885,17.928559290253432,13.006954333713535,51.63762592533112,2744.3408419911,1605.4733897415151,2557,1393,2924,1826,116177.0,0.6882348329001087,384.6051879378345,1301.9352083112938,0.9940448178792364,116873.0,0.7310821780745197,452.031288348348,327.94326804346065,1.3783825813690511,0.8612937148688272,0.8508375368066269,1.161044116236582,"Elongated,Oval,Elongated,Ellipse",0.0038908844982083,0.002822789950192,0.7239245140391681,0.9978449403776446,"[173, 161, 51]",olive,1037.7478307879487
1,Faba-Seed-CC_Vf1-1-2,245.19029055310315,20.639449567422776,15.13810804813282,56.83979565629121,245.9657718703304,21.049650389758423,14.903930620635052,60.16113688360123,236.65735269797173,20.64750358990604,14.619195820135632,59.01177771490962,3327.048324592365,2684.77975418935,3095,2465,3562,2910,150441.0,0.7061753700104495,437.6613192292673,1487.8590898655448,0.994552606353089,151265.0,0.7239179077544932,520.5838069764073,368.5925798167846,1.4123556346011432,0.8539893809325627,0.8407125103856754,1.1709747478452164,"Elongated,Oval,Elongated,Ellipse",0.0034603851807446,0.0024500806283977,0.7067975251189844,0.9982494671239406,"[177, 161, 50]",olive,1333.7572982131146
2,Faba-Seed-CC_Vf1-1-2,235.71131387881323,20.682668045987125,14.549931018056911,56.23239671012024,236.45681534120703,21.093727818334465,14.324852335486746,59.51824556561489,227.50825661850268,20.690738933387102,14.051180639358396,58.38116862876058,3782.155512532411,1042.8040242005186,3558,818,4012,1266,144625.0,0.7340413046052217,429.11801308885055,1471.9595949289333,0.995244845715544,145316.0,0.7110653319697923,521.6738961296699,354.2712598595398,1.4725267196004024,0.8388058647338272,0.8225790408002068,1.192170968329273,"Elongated,Oval,Elongated,Ellipse",0.0036070796620893,0.0024495852021402,0.6766362783637884,0.996364999341654,"[184, 177, 60]",olive,1277.8127185426774
3,Faba-Seed-CC_Vf1-1-2,228.2321144361866,19.648813119389413,14.811859463667766,54.7596443863831,228.9539608858861,20.039325437712808,14.582728905566878,57.959435349621714,220.2893429478212,19.656480571087485,14.304130560515889,56.85213898053607,4141.270437601759,2023.329136793396,3908,1834,4385,2216,140036.0,0.6858896349785729,422.255104038463,1433.4082963767123,0.995210006396134,140710.0,0.7685249212464464,495.59722524794944,360.6488653825109,1.3741821278775128,0.8564652239735289,0.8520126476236968,1.1675897304511076,"Elongated,Oval,Elongated,Ellipse",0.0035390701337366,0.0025754010781692,0.7259255517107418,0.9975539193305246,"[165, 129, 33]",darkgoldenrod,1240.7210187017088
